Localidade,Quarteirão,Local,Logradouro,Número,Situação,DATA INCLUSÃO,DATA DESATIVAÇÃO,CNPJ,RAZÃO SOCIAL,TELEFONE,TIPO,LATITUDE,LONGITUDE
SÃO JOÃO BATISTA,629,BORRACHARIA DO NEI,RODOVIA DOS MINÉRIOS,14745,1,,,,,,Borracharia,,
TRANQUEIRA,517,CEMITÉRIO,JOÃO BERQUÓ,S/N,1,,,,,,Cemitério,,
TRANQUEIRA,554,POSTO RODOVIÁRIO,RODOVIA DOS MINÉRIOS,KM21,1,,,,,,Posto,,
TRANQUEIRA,567,FERRO VELHO CAMPO GRANDE,GERVÁSIO CZELUZINIAK,341,1,,,,,,Ferro velho,,
TRANQUEIRA,568,CAL CHIMELLI,ANTONIO STOCCHERO,1243,1,,,,,,Borracharia,,
TRANQUEIRA,555,BORRACHARIA POLACO,ANTONIO STOCCHERO,238,1,,,,,,Borracharia,,
TRANQUEIRA,580,BORRACHARIA MAURÍCIO,RODOVIA DOS MINÉRIOS,11463,1,,,,,,,,
PARAÍSO,477,BORRACHARIA,RIO TANGUÁ,24,1,,,,,,,,
PARAÍSO,481,MEIO AMBIENTE,TRAVESSA RIO CACHOEIRINHA,114,1,,,,,,,,
PARAÍSO,398,BORRACHARIA PEDRA BRANCA,RODOVIA DOS MINÉRIOS ,KM 16,1,,,,,,,,
PARAÍSO,470,METALURGICA,RUA PROFESSOR EURIPEDES DE SIQUEIRA,S/N,1,,,,,,,,
PARAÍSO,396,BORRACHARIA NEZINHO,RODOVIA DOS MINÉRIOS ,7643,1,,,,,,,,
TANGUÁ,6,RECICLAGEM NO TB,CONSTANCIA WOLF,s/n,0,,,,,,,,
TANGUÁ,93,RECICLAGEM DA ILHA NOVA,RUA JOSÉ PLATNER,24,1,,,,,,,,
SEDE,703,CEMITÉRIO,CEL. JOÃO CÂNDIDO DE OLIVEIRA,750,1,,,,,,,,
SEDE,830,TERRENO AO LADO CAMARA MUNICIPAL,JOSÉ CARLOS COLODEL,s/n,1,,,,,,,,
SEDE,761,PATIO DE OBRAS,PEDRO TEIXEIRA ALVES,100,1,,,,,,,,
SEDE,791,CAL ELOI,PEDRO TEIXEIRA ALVES,875,1,,,,,,,,
SEDE,786,CAL BARIGUI,PEDRO TEIXEIRA ALVES,S/N,1,,,,,,,,
SEDE,150,CAL ELOI,PEDRO TEIXEIRA ALVES,875,1,,,,,,,,
SEDE,827,BORRACHARIA (ANTUNES - PAI),RODOVIA DOS MINÉRIOS,5438,1,,,,,,,,
SEDE,828,BORRACHARIA DPC,RODOVIA DOS MINÉRIOS,5230,1,,,,,,,,
ROMA,850,BORRACHARIA (Davi),RODOVIA DOS MINÉRIOS,5142,1,,,,,,,,
ROMA,868,CONSERTO MÁQUINAS - HELIO,RUA BARIGUI,444,1,,,,,,,,
ROMA,912,FERRO VELHO BRUNO,RUA SÃO GABRIEL,698,1,,,,,,,,
ROMA,964,BARRACÃO RECICLAR E LIMPAR,RUA AIDES ÂNGELO DE OLIVEIRA,77,1,,,,,,,,
ROMA,1012,RECICLAGEM  - Valdecir,RUA ALEXANDRE DE CRISTO ,187,1,,,,,,,,
LAMENHA,148,ORPEC,WADISLAU BUGALSKI,4250,1,,,,,,,,
LAMENHA,257,FERRO VELHO ALISSON,,630,1,,,,,,,,
GRAZIELA,1297,RECICLAGEM CARLOS,RUA MINAS NOVAS,52,0,,,,,,,,
GRAZIELA,1336,FERRO VELHO DO PAULO,RUA CAMPO DE MINAS,753,1,,,,,,,,
GRAZIELA,1338,FERRO VELHO PERNAMBUCO,RODOVIA VEREADOR ADMAR BERTOLLI,74,1,,,,,,,,
GRAZIELA,1390,RECICLAGEM ERNESTO SILVA,RODOVIA VEREADOR ADMAR BERTOLLI,85,0,,,,,,,,
CACHOEIRA,1179,Ferro Velho Brito,RODOVIA DOS MINÉRIOS,1504,1,,,,,,,,
CACHOEIRA,1174,RECICLAGEM ANTENOR,RODOVIA DOS MINÉRIOS,1540,1,,,,,,,,
SÃO VENÂNCIO,1054,RECICLAGEM MARQUES,FRANCISCO KRIGER,36,1,,,,,,,,
SÃO VENÂNCIO,1077,TAS CONSTRUTORA,IRAYDES DA CRUZ GUIMARÃES,7734,1,,,,,,,,
SÃO VENÂNCIO,1077,RECICLAGEM GARCIA,IRAYDES DA CRUZ GUIMARÃES,7733,1,,,,,,,,
SÃO VENÂNCIO,1077,FERRO VELHO NUNES,RODOVIA VEREADOR ADMAR BERTOLLI,S/N,1,,,,,,,,
SÃO VENÂNCIO,1079,CEMITÉRIO VATICANO,MAURICIO ROSSEMAN,665,1,,,,,,,,
SÃO VENÂNCIO,1079,CEMITÉRIO EVANGÉLICO,MAURICIO ROSSEMAN,S/N,1,,,,,,,,
ROSANA,1049,CEMITÉRIO PRADO,PROF.ALBERTO PIEKARZ,131,1,,,,,,,,
